 ID        Timestamp_RX        Timestamp_TX  Delay   Jitter
132 1739130260130998757 1739130260130957501  41256   6916.0
133 1739130260131990924 1739130260131958140  32784   8472.0
134 1739130260132989979 1739130260132957847  32132    652.0
135 1739130260133993433 1739130260133958233  35200   3068.0
136 1739130260134999719 1739130260134967382  32337   2863.0
137 1739130260135992943 1739130260135958731  34212   1875.0
138 1739130260136991515 1739130260136958341  33174   1038.0
139 1739130260137992900 1739130260137959287  33613    439.0
140 1739130260138993609 1739130260138958698  34911   1298.0
141 1739130260139991455 1739130260139956807  34648    263.0
142 1739130260140991010 1739130260140958069  32941   1707.0
143 1739130260141992364 1739130260141958148  34216   1275.0
144 1739130260142994250 1739130260142957657  36593   2377.0
145 1739130260143991512 1739130260143957354  34158   2435.0
146 1739130260144977257 1739130260144926721  50536  16378.0
147 1739130260145992609 1739130260145957241  35368  15168.0
148 1739130260146993283 1739130260146960476  32807   2561.0
149 1739130260147986098 1739130260147945472  40626   7819.0
150 1739130260148977243 1739130260148921690  55553  14927.0
151 1739130260149990418 1739130260149957033  33385  22168.0
152 1739130260150989846 1739130260150956484  33362     23.0
153 1739130260151990202 1739130260151956943  33259    103.0
154 1739130260152989406 1739130260152957394  32012   1247.0
155 1739130260153989793 1739130260153957987  31806    206.0
156 1739130260154985263 1739130260154927926  57337  25531.0
157 1739130260155996209 1739130260155960400  35809  21528.0
158 1739130260156993445 1739130260156959647  33798   2011.0
159 1739130260157994841 1739130260157959808  35033   1235.0
160 1739130260158994345 1739130260158959742  34603    430.0
161 1739130260159993604 1739130260159959276  34328    275.0
162 1739130260160993461 1739130260160958875  34586    258.0
163 1739130260161998005 1739130260161958373  39632   5046.0
164 1739130260162992814 1739130260162957788  35026   4606.0
165 1739130260163994799 1739130260163959846  34953     73.0
166 1739130260164993130 1739130260164959573  33557   1396.0
167 1739130260165990720 1739130260165957234  33486     71.0
168 1739130260166989934 1739130260166957467  32467   1019.0
169 1739130260167992192 1739130260167957765  34427   1960.0
170 1739130260168991271 1739130260168957549  33722    705.0
171 1739130260169990265 1739130260169957335  32930    792.0
172 1739130260170993128 1739130260170959847  33281    351.0
173 1739130260171990243 1739130260171957524  32719    562.0
174 1739130260172989754 1739130260172957201  32553    166.0
175 1739130260173990410 1739130260173957212  33198    645.0
176 1739130260174990808 1739130260174957136  33672    474.0
177 1739130260175990451 1739130260175957116  33335    337.0
178 1739130260176989322 1739130260176957377  31945   1390.0
179 1739130260177990020 1739130260177957101  32919    974.0
180 1739130260178989186 1739130260178957270  31916   1003.0
181 1739130260179989377 1739130260179957096  32281    365.0
182 1739130260180991466 1739130260180958893  32573    292.0
183 1739130260181991487 1739130260181958670  32817    244.0
184 1739130260182989288 1739130260182957304  31984    833.0
185 1739130260183990048 1739130260183957368  32680    696.0
186 1739130260184990965 1739130260184957360  33605    925.0
187 1739130260185989556 1739130260185957220  32336   1269.0
188 1739130260186989485 1739130260186957176  32309     27.0
189 1739130260187989820 1739130260187957273  32547    238.0
190 1739130260188990135 1739130260188957638  32497     50.0
191 1739130260189989455 1739130260189957234  32221    276.0
192 1739130260190990415 1739130260190957377  33038    817.0
193 1739130260191989822 1739130260191957268  32554    484.0
194 1739130260192988111 1739130260192956331  31780    774.0
195 1739130260194000406 1739130260193968123  32283    503.0
196 1739130260194990606 1739130260194958730  31876    407.0
197 1739130260195988043 1739130260195955970  32073    197.0
198 1739130260196986192 1739130260196956049  30143   1930.0
199 1739130260197988588 1739130260197957487  31101    958.0
200 1739130260198987432 1739130260198957477  29955   1146.0
201 1739130260199988449 1739130260199955904  32545   2590.0
202 1739130260200977090 1739130260200918760  58330  25785.0
203 1739130260201991296 1739130260201957925  33371  24959.0
204 1739130260202991624 1739130260202958084  33540    169.0
205 1739130260203992677 1739130260203959344  33333    207.0
206 1739130260204995519 1739130260204961005  34514   1181.0
207 1739130260205991751 1739130260205957497  34254    260.0
